Date,AAPL,MSFT,AMZN,NVDA,META,TSLA,GOOGL,AVGO,COST,GOOG
2024-10-31,225.66172790527344,406.3500061035156,186.39999389648438,132.75999450683594,567.5800170898438,249.85000610351562,171.11000061035156,169.77000427246094,873.0199584960938,172.69000244140625
2024-11-01,222.66502380371094,410.3699951171875,197.92999267578125,135.39999389648438,567.1599731445312,248.97999572753906,171.2899932861328,168.9199981689453,877.3099975585938,172.64999389648438
2024-11-04,221.76600646972656,408.4599914550781,195.77999877929688,136.0500030517578,560.6799926757812,242.83999633789062,169.24000549316406,168.5500030517578,886.0700073242188,170.67999267578125
2024-11-05,223.2044219970703,411.4599914550781,199.5,139.91000366210938,572.4299926757812,251.44000244140625,169.74000549316406,173.89999389648438,890.1699829101562,171.41000366210938
2024-11-06,222.47523498535156,420.17999267578125,207.08999633789062,145.61000061035156,572.0499877929688,288.5299987792969,176.50999450683594,179.5500030517578,899.25,178.3300018310547
2024-11-07,227.22999572753906,425.42999267578125,210.0500030517578,148.8800048828125,591.7000122070312,296.9100036621094,180.75,183.80999755859375,913.9299926757812,182.27999877929688
2024-11-08,226.9600067138672,422.5400085449219,208.17999267578125,147.6300048828125,589.3400268554688,321.2200012207031,178.35000610351562,183.63999938964844,943.7999877929688,179.86000061035156
2024-11-11,224.22999572753906,418.010009765625,206.83999633789062,145.25999450683594,583.1699829101562,350.0,180.35000610351562,178.91000366210938,932.8800048828125,181.97000122070312
2024-11-12,224.22999572753906,423.0299987792969,208.91000366210938,148.2899932861328,584.8200073242188,328.489990234375,181.6199951171875,176.22000122070312,932.3800048828125,183.32000732421875
2024-11-13,225.1199951171875,425.20001220703125,214.10000610351562,146.27000427246094,580.0,330.239990234375,178.8800048828125,173.5800018310547,933.72998046875,180.49000549316406
2024-11-14,228.22000122070312,426.8900146484375,211.47999572753906,146.75999450683594,577.1599731445312,311.17999267578125,175.5800018310547,170.3800048828125,923.8900146484375,177.35000610351562
2024-11-15,225.0,415.0,202.61000061035156,141.97999572753906,554.0800170898438,320.7200012207031,172.49000549316406,164.83999633789062,907.0700073242188,173.88999938964844
2024-11-18,228.02000427246094,415.760009765625,201.6999969482422,140.14999389648438,554.4000244140625,338.739990234375,175.3000030517578,165.6699981689453,919.510009765625,176.8000030517578
2024-11-19,228.27999877929688,417.7900085449219,204.61000061035156,147.00999450683594,561.0900268554688,346.0,178.1199951171875,165.35000610351562,930.1500244140625,179.5800018310547
2024-11-20,229.0,415.489990234375,202.8800048828125,145.88999938964844,565.52001953125,342.0299987792969,175.97999572753906,163.25,928.0800170898438,177.3300018310547
2024-11-22,230.29242,425.18362,189.09608,139.97234,577.1982,231.39107,169.88225,171.62323,887.1003,171.16943
2024-11-23,227.841,429.28915,192.13239,137.87473,581.8122,227.71002,169.30505,170.61781,886.0968,171.18793
2024-11-24,230.46277,421.531,190.78107,135.62894,570.0472,231.18028,169.66998,173.11087,892.6705,172.70407
2024-11-25,228.20076,409.9923,194.73055,136.557,564.95166,244.88428,169.7356,174.15578,889.60986,172.86508
2024-11-26,230.03542,423.0224,201.35757,136.29279,574.2507,259.9981,171.90181,173.68378,887.95746,173.67851
2024-11-27,229.48245,419.64,201.53058,141.57762,581.5034,258.00073,177.10327,178.03177,895.1796,176.47375
2024-11-28,227.74355,420.50226,205.70453,146.54408,581.9244,272.8606,177.60431,175.72989,892.4121,179.02754
